# pack	reading	output	dataset	category
geography	an'dong'jun'chi	安東軍池	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'dong'keng'dao	安東坑道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'dong'kun'shan	安東昆山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'dong'liao	安東寮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'dong'shan	安東山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'fu'shui'ku	安富水庫	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'guang'lin	暗光林	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'he	安和	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'he'gong'yuan	安和公園	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'he'lu'san'duan	安和路三段	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'he'qiao	安和橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'jia'cuo	安家厝	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'kang'bu'dao	安康步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'kang'jie'dai'shi	安康接待室	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'keng	安坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'keng	暗坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'lan'qiao	安瀾橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'le'qu	安樂區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'le'xiang	安樂巷	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'liang'gang	安良港	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'long'diao'qiao	安龍吊橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ma'shan'dong'bei'feng	鞍馬山東北峰	rudy-2026.09.03:mcbopomofo-derived	geography_history
