# kind	reading	output	frequency_rank	source
kanji	i'ki	気	113	kanjidic:U6C17
kanji	i'ku	育	369	kanjidic:U80B2
kanji	i'ku'sa	戦	78	kanjidic:U6226
kanji	i'ku'sa	軍	189	kanjidic:U8ECD
kanji	i'ma	今	49	kanjidic:U4ECA
kanji	i'n	員	54	kanjidic:U54E1
kanji	i'n	引	218	kanjidic:U5F15
kanji	i'n	院	150	kanjidic:U9662
kanji	i'n	音	491	kanjidic:U97F3
kanji	i'no'chi	命	465	kanjidic:U547D
kanji	i'shi	石	342	kanjidic:U77F3
kanji	i'tsu	一	2	kanjidic:U4E00
kanji	i'tsu	五	31	kanjidic:U4E94
kanji	i'u	道	207	kanjidic:U9053
kanji	ja	写	453	kanjidic:U5199
kanji	ja'ku	着	376	kanjidic:U7740
kanji	ja'ku	若	458	kanjidic:U82E5
kanji	ji	事	18	kanjidic:U4E8B
kanji	ji	二	9	kanjidic:U4E8C
kanji	ji	仕	439	kanjidic:U4ED5
kanji	ji	十	8	kanjidic:U5341
kanji	ji	地	40	kanjidic:U5730
kanji	ji	字	485	kanjidic:U5B57
kanji	ji	持	119	kanjidic:U6301
kanji	ji	時	16	kanjidic:U6642
kanji	ji	次	222	kanjidic:U6B21
kanji	ji	治	109	kanjidic:U6CBB
kanji	ji	示	237	kanjidic:U793A
kanji	ji	自	19	kanjidic:U81EA
kanji	ji'ka	直	246	kanjidic:U76F4
kanji	ji'ki	直	246	kanjidic:U76F4
kanji	ji'ki	食	328	kanjidic:U98DF
kanji	ji'n	人	5	kanjidic:U4EBA
kanji	ji'n	神	347	kanjidic:U795E
kanji	ji'tsu	実	68	kanjidic:U5B9F
kanji	ji'tsu	日	1	kanjidic:U65E5
kanji	jo	助	397	kanjidic:U52A9
kanji	jo	女	151	kanjidic:U5973
kanji	jo'u	上	35	kanjidic:U4E0A
kanji	jo'u	乗	377	kanjidic:U4E57
kanji	jo'u	場	52	kanjidic:U5834
kanji	jo'u	定	48	kanjidic:U5B9A
kanji	jo'u	常	293	kanjidic:U5E38
kanji	jo'u	情	235	kanjidic:U60C5
kanji	jo'u	成	116	kanjidic:U6210
kanji	jo'u	条	363	kanjidic:U6761
kanji	jo'u	状	298	kanjidic:U72B6
kanji	ju	入	56	kanjidic:U5165
kanji	ju	十	8	kanjidic:U5341
kanji	ju	受	136	kanjidic:U53D7
kanji	ju'n	準	425	kanjidic:U6E96
kanji	ju'tsu	術	350	kanjidic:U8853
kanji	ju'tsu	述	379	kanjidic:U8FF0
kanji	ju'u	住	270	kanjidic:U4F4F
kanji	ju'u	十	8	kanjidic:U5341
kanji	ju'u	重	193	kanjidic:U91CD
kanji	ka	下	97	kanjidic:U4E0B
kanji	ka	何	340	kanjidic:U4F55
kanji	ka	価	250	kanjidic:U4FA1
kanji	ka	個	451	kanjidic:U500B
kanji	ka	加	130	kanjidic:U52A0
kanji	ka	化	89	kanjidic:U5316
kanji	ka	可	314	kanjidic:U53EF
kanji	ka	合	41	kanjidic:U5408
kanji	ka	和	124	kanjidic:U548C
kanji	ka	家	133	kanjidic:U5BB6
kanji	ka	果	258	kanjidic:U679C
kanji	ka	課	455	kanjidic:U8AB2
kanji	ka	過	285	kanjidic:U904E
kanji	ka'bu	株	432	kanjidic:U682A
kanji	ka'bu'ri	頭	433	kanjidic:U982D
kanji	ka'do	門	452	kanjidic:U9580
kanji	ka'ge	影	464	kanjidic:U5F71
kanji	ka'i	会	4	kanjidic:U4F1A
kanji	ka'i	回	50	kanjidic:U56DE
kanji	ka'i	改	147	kanjidic:U6539
kanji	ka'i	海	200	kanjidic:U6D77
kanji	ka'i	画	199	kanjidic:U753B
kanji	ka'i	界	158	kanjidic:U754C
kanji	ka'i	解	176	kanjidic:U89E3
kanji	ka'i	開	59	kanjidic:U958B
kanji	ka'ka'ri	係	232	kanjidic:U4FC2
kanji	ka'ku	各	243	kanjidic:U5404
kanji	ka'ku	核	475	kanjidic:U6838
kanji	ka'ku	格	281	kanjidic:U683C
kanji	ka'ku	画	199	kanjidic:U753B
kanji	ka'ku	確	252	kanjidic:U78BA
kanji	ka'ku	閣	444	kanjidic:U95A3
kanji	ka'ku	革	249	kanjidic:U9769
kanji	ka'mi	上	35	kanjidic:U4E0A
kanji	ka'mi	守	457	kanjidic:U5B88
kanji	ka'mi	神	347	kanjidic:U795E
kanji	ka'n	官	230	kanjidic:U5B98
kanji	ka'n	幹	364	kanjidic:U5E79
kanji	ka'n	感	233	kanjidic:U611F
kanji	ka'n	環	409	kanjidic:U74B0
kanji	ka'n	監	408	kanjidic:U76E3
kanji	ka'n	観	476	kanjidic:U89B3
kanji	ka'n	間	33	kanjidic:U9593
kanji	ka'n	関	70	kanjidic:U95A2
kanji	ka'n	韓	445	kanjidic:U97D3
kanji	ka'n'nu'ki	関	70	kanjidic:U95A2
kanji	ka'na'me	要	106	kanjidic:U8981
kanji	ka'ne	金	53	kanjidic:U91D1
kanji	ka'ra	空	304	kanjidic:U7A7A
kanji	ka'ra	韓	445	kanjidic:U97D3
kanji	ka'ra'da	体	88	kanjidic:U4F53
kanji	ka'ra'ku'ri	関	70	kanjidic:U95A2
kanji	ka'ri	権	156	kanjidic:U6A29
kanji	ka'shi'ra	頭	433	kanjidic:U982D
kanji	ka'ta	型	482	kanjidic:U578B
kanji	ka'ta	形	418	kanjidic:U5F62
kanji	ka'ta	方	46	kanjidic:U65B9
kanji	ka'ta'chi	体	88	kanjidic:U4F53
kanji	ka'ta'chi	形	418	kanjidic:U5F62
kanji	ka'ta'ma'ri	団	213	kanjidic:U56E3
kanji	ka'tsu	割	318	kanjidic:U5272
kanji	ka'tsu	勝	185	kanjidic:U52DD
kanji	ka'tsu	活	171	kanjidic:U6D3B
kanji	ka'wa	側	216	kanjidic:U5074
kanji	ka'wa	川	181	kanjidic:U5DDD
kanji	ka'wa	革	249	kanjidic:U9769
kanji	ka'zu	数	148	kanjidic:U6570
kanji	ke	価	250	kanjidic:U4FA1
kanji	ke	化	89	kanjidic:U5316
kanji	ke	家	133	kanjidic:U5BB6
kanji	ke	気	113	kanjidic:U6C17
kanji	ke'chi	結	162	kanjidic:U7D50
kanji	ke'i	京	74	kanjidic:U4EAC
kanji	ke'i	係	232	kanjidic:U4FC2
kanji	ke'i	型	482	kanjidic:U578B
kanji	ke'i	境	346	kanjidic:U5883
kanji	ke'i	形	418	kanjidic:U5F62
kanji	ke'i	景	419	kanjidic:U666F
kanji	ke'i	経	79	kanjidic:U7D4C
kanji	ke'i	計	228	kanjidic:U8A08
kanji	ke'i	警	366	kanjidic:U8B66
kanji	ke'n	件	212	kanjidic:U4EF6
kanji	ke'n	建	300	kanjidic:U5EFA
kanji	ke'n	検	290	kanjidic:U691C
kanji	ke'n	権	156	kanjidic:U6A29
kanji	ke'n	県	140	kanjidic:U770C
