xie	ㄒㄧㄝˋ	㕢	0.0	ㄒㄧㄝˋ
qiu	ㄑㄧㄡˊ	㕤	0.0	ㄑㄧㄡˊ
rou	ㄖㄡˊ	㕤	0.0	ㄖㄡˊ
shen	ㄕㄣ	㕥	0.0	ㄕㄣˉ
xi	ㄒㄧ	㕧	0.0	ㄒㄧˉ
dan	ㄉㄢˇ	㕪	0.0	ㄉㄢˇ
fang	ㄈㄤˇ	㕫	0.0	ㄈㄤˇ
ao	ㄠ	㕭	0.0	ㄠˉ
fu	ㄈㄨˇ	㕮	0.0	ㄈㄨˇ
fu	ㄈㄨˋ	㕮	0.0	ㄈㄨˋ
ma	ㄇㄚ	㕰	0.0	ㄇㄚˉ
xue	ㄒㄩㄝˋ	㕰	0.0	ㄒㄩㄝˋ
hua	ㄏㄨㄚˊ	㕲	0.0	ㄏㄨㄚˊ
ying	ㄧㄥˊ	㕲	0.0	ㄧㄥˊ
xiong	ㄒㄩㄥ	㕳	0.0	ㄒㄩㄥˉ
mang	ㄇㄤˊ	㕵	0.0	ㄇㄤˊ
guo	ㄍㄨㄛˊ	㕵	0.0	ㄍㄨㄛˊ
mo	ㄇㄛˋ	㕶	0.0	ㄇㄛˋ
fu	ㄈㄨˇ	㕶	0.0	ㄈㄨˇ
en	ㄣ˙	㕶	0.0	ㄣ˙
pa	ㄆㄚ	㕷	0.0	ㄆㄚˉ
pia	ㄆㄧㄚ	㕷	0.0	ㄆㄧㄚˉ
hua	ㄏㄨㄚˋ	㕷	0.0	ㄏㄨㄚˋ
huo	ㄏㄨㄛˋ	㕷	0.0	ㄏㄨㄛˋ
li	ㄌㄧˋ	㕸	0.0	ㄌㄧˋ
hao	ㄏㄠˊ	㕺	0.0	ㄏㄠˊ
hao	ㄏㄠˋ	㕺	0.0	ㄏㄠˋ
xiao	ㄒㄧㄠ	㕺	0.0	ㄒㄧㄠˉ
e	ㄜˋ	㕺	0.0	ㄜˋ
hong	ㄏㄨㄥ	㕼	0.0	ㄏㄨㄥˉ
xiong	ㄒㄩㄥ	㕼	0.0	ㄒㄩㄥˉ
le	ㄌㄜˋ	㖀	0.0	ㄌㄜˋ
lin	ㄌㄧㄣˋ	㖁	0.0	ㄌㄧㄣˋ
yi	ㄧˋ	㖂	0.0	ㄧˋ
gou	ㄍㄡˋ	㖃	0.0	ㄍㄡˋ
hou	ㄏㄡˇ	㖃	0.0	ㄏㄡˇ
zhou	ㄓㄡ	㖄	0.0	ㄓㄡˉ
zhu	ㄓㄨˋ	㖄	0.0	ㄓㄨˋ
xu	ㄒㄩˋ	㖅	0.0	ㄒㄩˋ
qu	ㄑㄩˊ	㖆	0.0	ㄑㄩˊ
er	ㄦˊ	㖇	0.0	ㄦˊ
lao	ㄌㄠˇ	㖈	0.0	ㄌㄠˇ
nie	ㄋㄧㄝˋ	㖏	0.0	ㄋㄧㄝˋ
wei	ㄨㄟˇ	㖐	0.0	ㄨㄟˇ
xie	ㄒㄧㄝˋ	㖑	0.0	ㄒㄧㄝˋ
ti	ㄊㄧˊ	㖒	0.0	ㄊㄧˊ
hong	ㄏㄨㄥˊ	㖓	0.0	ㄏㄨㄥˊ
nie	ㄋㄧㄝˋ	㖕	0.0	ㄋㄧㄝˋ
xin	ㄒㄧㄣ	㖕	0.0	ㄒㄧㄣˉ
nie	ㄋㄧㄝˋ	㖖	0.0	ㄋㄧㄝˋ
xin	ㄒㄧㄣ	㖖	0.0	ㄒㄧㄣˉ
yin	ㄧㄣˊ	㖗	0.0	ㄧㄣˊ
zhen	ㄓㄣ	㖘	0.0	ㄓㄣˉ
shou	ㄕㄡˋ	㖟	0.0	ㄕㄡˋ
ye	ㄧㄝˋ	㖡	0.0	ㄧㄝˋ
pou	ㄆㄡˇ	㖣	0.0	ㄆㄡˇ
jun	ㄐㄩㄣˋ	㖥	0.0	ㄐㄩㄣˋ
dong	ㄉㄨㄥˇ	㖦	0.0	ㄉㄨㄥˇ
guo	ㄍㄨㄛˊ	㖪	0.0	ㄍㄨㄛˊ
huo	ㄏㄨㄛˋ	㖪	0.0	ㄏㄨㄛˋ
xu	ㄒㄩˋ	㖪	0.0	ㄒㄩˋ
yu	ㄩˋ	㖪	0.0	ㄩˋ
wen	ㄨㄣˇ	㖴	0.0	ㄨㄣˇ
ju	ㄐㄩˋ	㖵	0.0	ㄐㄩˋ
shi	ㄕˊ	㖷	0.0	ㄕˊ
ju	ㄐㄩˋ	㖸	0.0	ㄐㄩˋ
jue	ㄐㄩㄝˊ	㖸	0.0	ㄐㄩㄝˊ
xue	ㄒㄩㄝ	㖸	0.0	ㄒㄩㄝˉ
chun	ㄔㄨㄣˇ	㖺	0.0	ㄔㄨㄣˇ
die	ㄉㄧㄝˊ	㖽	0.0	ㄉㄧㄝˊ
zhi	ㄓˋ	㖽	0.0	ㄓˋ
ze	ㄗㄜˊ	㖽	0.0	ㄗㄜˊ
e	ㄜˋ	㖾	0.0	ㄜˋ
ye	ㄧㄝˊ	㖿	0.0	ㄧㄝˊ
you	ㄧㄡ	㗀	0.0	ㄧㄡˉ
e	ㄜˋ	㗁	0.0	ㄜˋ
sheng	ㄕㄥˇ	㗂	0.0	ㄕㄥˇ
man	ㄇㄢˊ	㗄	0.0	ㄇㄢˊ
man	ㄇㄢˋ	㗄	0.0	ㄇㄢˋ
ku	ㄎㄨ	㗄	0.0	ㄎㄨˉ
hu	ㄏㄨˊ	㗅	0.0	ㄏㄨˊ
ge	ㄍㄜˊ	㗆	0.0	ㄍㄜˊ
xia	ㄒㄧㄚ	㗇	0.0	ㄒㄧㄚˉ
man	ㄇㄢˊ	㗈	0.0	ㄇㄢˊ
ji	ㄐㄧˊ	㗊	0.0	ㄐㄧˊ
zhi	ㄓˋ	㗌	0.0	ㄓˋ
ke	ㄎㄜ	㗐	0.0	ㄎㄜˉ
ke	ㄎㄜˋ	㗐	0.0	ㄎㄜˋ
he	ㄏㄜˊ	㗐	0.0	ㄏㄜˊ
gou	ㄍㄡ	㗕	0.0	ㄍㄡˉ
gou	ㄍㄡˋ	㗕	0.0	ㄍㄡˋ
dan	ㄉㄢˋ	㗖	0.0	ㄉㄢˋ
bo	ㄅㄛˊ	㗘	0.0	ㄅㄛˊ
chu	ㄔㄨˊ	㗙	0.0	ㄔㄨˊ
xiao	ㄒㄧㄠˋ	㗛	0.0	ㄒㄧㄠˋ
xiu	ㄒㄧㄡˋ	㗜	0.0	ㄒㄧㄡˋ
dong	ㄉㄨㄥˋ	㗢	0.0	ㄉㄨㄥˋ
hong	ㄏㄨㄥˊ	㗢	0.0	ㄏㄨㄥˊ
hong	ㄏㄨㄥˋ	㗢	0.0	ㄏㄨㄥˋ
guo	ㄍㄨㄛ	㗥	0.0	ㄍㄨㄛˉ
kuo	ㄎㄨㄛˋ	㗥	0.0	ㄎㄨㄛˋ
